#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:primates" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:primates" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:primates" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.primates" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:primates" name="distribution" x="@birthRate.t:primates">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@primates" id="treeLikelihood.primates" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:primates">
#            <siteModel id="SiteModel.s:primates" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:primates" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:primates" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:primates" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:primates" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:primates" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:primates" name="clock.rate" spec="beast.core.parameter.RealParameter">0.5</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-10258.308990140324	-10253.32559450527	-4.983395635053545	-10253.32559450527	1.4507711293012	-4.983395635053545	1.0
1000	-6435.861377881675	-6439.26218039588	3.400802514205075	-6439.26218039588	0.4349433779251786	3.400802514205075	3.035641471732614
2000	-6436.757246044593	-6440.210499307632	3.4532532630388753	-6440.210499307632	0.45305020083487785	3.4532532630388753	4.2217065071210795
3000	-6432.292959629259	-6435.055943355404	2.7629837261456265	-6435.055943355404	0.4714431895043152	2.7629837261456265	5.340359186618507
4000	-6434.158842139178	-6436.202696195313	2.04385405613583	-6436.202696195313	0.43325269304544345	2.04385405613583	2.0627097032470796
5000	-6431.037219926984	-6434.380222891607	3.343002964623735	-6434.380222891607	0.4527807114551126	3.343002964623735	4.456228190085356
6000	-6434.969673183508	-6435.569275183902	0.5996020003939151	-6435.569275183902	0.4415106458875343	0.5996020003939151	7.629766356575751
7000	-6433.1672559774115	-6436.726881129305	3.5596251518937896	-6436.726881129305	0.44823553018757484	3.5596251518937896	4.317925778875842
8000	-6433.75247598871	-6437.22568967104	3.4732136823298956	-6437.22568967104	0.4679477835788606	3.4732136823298956	3.904667634849021
9000	-6432.948117373347	-6436.1554317892005	3.20731441585373	-6436.1554317892005	0.4466138198050004	3.20731441585373	2.936269348856711
10000	-6434.017598410332	-6438.038245282096	4.020646871764493	-6438.038245282096	0.44077592135760124	4.020646871764493	3.6510895938498105
11000	-6432.104378565676	-6435.337580826057	3.2332022603813306	-6435.337580826057	0.4812686913018076	3.2332022603813306	3.7891818114764018
12000	-6432.524632652814	-6436.302279025222	3.777646372407812	-6436.302279025222	0.4723841578973074	3.777646372407812	3.9374500978409777
13000	-6431.9311771834755	-6434.505106892432	2.5739297089570154	-6434.505106892432	0.44148395522443873	2.5739297089570154	6.3974246042730885
14000	-6437.1188920433915	-6439.798801958103	2.6799099147111782	-6439.798801958103	0.45861481026910794	2.6799099147111782	4.390135882424123
15000	-6431.0468036643215	-6434.416522419197	3.369718754875149	-6434.416522419197	0.44604029806244844	3.369718754875149	2.857450946237185
16000	-6439.423213582241	-6440.531036726344	1.1078231441026105	-6440.531036726344	0.43222215551904825	1.1078231441026105	7.324703963531991
17000	-6432.617576253788	-6435.851898133726	3.234321879937635	-6435.851898133726	0.4444226606823418	3.234321879937635	5.381834669572645
18000	-6433.698196663328	-6437.765515818866	4.067319155538295	-6437.765515818866	0.42304641476690086	4.067319155538295	3.562069214564529
